id,Subject,Complaint,Departments
53,Water leakage during summer season.,"The drinking water pipe near at puthoor junction is broken and the water is flowing for 2 days. 
Please take necessary action.",Water Authority
54,Frequent power failure.,Power failure is occurring frequently in madavoor electricity section. Please take necessary action.,KSEB
55,Load shedding.,"In my locality, for the past few months there is regular power cuts every night. This makes it 
difficult for us in this hot summer months. I request you to look into the problem and do the
 needed.",KSEB
56,Lack of transport bus service.,"There is only limited services from KSRTC to Kazhakkuttam via Kulathur.Students are facing 
difficulty due to the lack of buses.Please increase the number of service.",KSRTC
57,Regarding the late arrival of buses.,"I frequently use public transportation to get around during my daily commute to and from work.
 We have several bus lines that are intended to provide convenient access to locations around
 town. This would be effective if the buses ran on a dependable schedule. In the past week, 
I have experienced six late buses on my commute and one that did not arrive at all.",KSRTC
58,Electricity overhead wires problem.,"Due to electricity overhead wires, we are in big trouble that wires is in bad condition, almost 
15 years old wires still continues using crawl peoples.",KSEB
59,Cutting down of trees.,"Now a days many people are cutting down the trees for their own purposes. For example , 
Many oragansations and some builders cut down the trees and build their projects. This will
 cause a real harm to humans. They are also utilizing those fertile paddy fields for construction.
 These will affect the environment and the oxygen content in the air become low. When the 
oxygen content level decreases in the air survival of living beings will move in a harder way. 
It is also a major factor in ozone depletion. When ozone holes are formed, the harmful 
radiations will enter into the earth through these holes and causes real harm to the living 
beings. If this continues in this way it is a threatening part for our lives. So please take 
this as a serious issue and make necessary useful remedies. ","Environment and climate
 change"
60,Water related Complaint.,Shortage of drinking water.,Water Authority
61,Road is not well maintained.,Road to sreekaryam does not have proper width and is not well maintained.,PWD
62,potholes.," I'd like to make your Public Works Department aware of a number of potholes that are
 impeding traffic and also causing undue wear and tear on vehicles. Hitting a pothole even at 
the speed limit can pop a tire, damage a car, or even pose a physical threat to drivers and 
pedestrians. As you know, state law permits drivers to seek reimbursement for losses due 
to road hazards and defects that are a result of negligence. The potential for liability claims 
here is high. Several potholes are located on Maple Street between 12th and 13th streets. 
One of at least two feet in diameter is at the intersection of 13th and Pine. I know that your
 crew can't get to every pothole right away, but these have been growing for many months. 
 have attached photos to illustrate the problem.",PWD
63,Pollution by Ksrtc bus.,Polution by Ksrtc bus is very heavy today .So government has to fix it as soon as possible.,"PWD,Environment and 
climate change"
64,Road Transportation Problems.,"Most of the roads are not safe for running a heavyweight vehicle because of their poor maintenance. 
This problem aggravates especially during the rainy season.
A major problem of India roads is high traffic condition. The same road is used by various types of vehicles such 
as high-speed trucks, cars, tractors, two-wheelers, driven carts, cyclists etc. all these things create a high 
traffic jam, pollution, congestion, road accident etc.The Roads in India lack wayside amenities like first aid centers, 
telephone booths, repair shops, restaurants, clean toilets that create serious problems for drivers. 
Moreover, a little attention is given to the road safety issues and also road safety rules violation laws.
The road transportation system of our country requires immediate modernization and latest technology. In the
 road transport sector, the use of old technology and vehicles are still prevalent which ultimately increase the 
number of road accidents. Not only this, due to bad road condition, the transport companies have to bear a huge 
amount per year on wear and tear of the vehicles. This is an important point on which proper attention should be given.
Road direction to the railway department is always indifferent attitude The biggest barrier to the transport in India 
is the Railway Crossings. Despite government permissions, the government employees do not make reasonable 
contributions even after the bribe and time-consuming. Not only the transport traders but also the large 
businessmen and businessmen also have to be raised.",PWD
65,No bus.,There is no bus service in my area after 7:30.,KSRTC
66,Horrible Effects of Quarrying,"Quarries are bad for the environment in several ways .They abruptly interrupt the continuity
 of open space ,cause soil erosion,air and dust pollution, deterioration in water quality.
When they are in residential area,they create noise hazards. So I request the higher authority
 to investigate and punish the officials who have a hand in quarrying and illegal mining. 
At the same time government should create awareness about the potentially negative impact 
of quarrying.","Environment and climate
 change"
67,Water scarcity,Scarcity of drinking water in summer,Water Authority
68,Control on overspeed of vehicles,"It would be much safer for the public if there is a proper control over the speed of the buses.
 The drivers are onky bothered on reaching the destination on time, and are least bothered 
about the safety of both the passengers and the people around. They don't even spend time 
to confirm if the passenger has got down or got on the bus which is a risk to the life of the
 person.",KSRTC
69,Road Related,The roads have so many pitfalls which sometimes cause accidents to unwary drivers.,PWD
70,Seat related in Public transport buses.,"Sir, I would like to inform that more than 25 percent of seats in buses are alloted to
 females.As a man while i transport from city to city its too tired while standing on a bus to 
travel.yesterday i had to face a problem that a lady who argue to me leave the seat for her. 
I noticed that the seat was reserved for females.Then i took a see on back to the whole seats , 
then i found that almost all seats are filled by females. As this a problem i feel.Please make a
 reserved seat for male to in public transport buses(atleast for fast passenger and above). 
Dont forget the word ""EQUALITY"".",KSRTC
71,Mining.,Save alappad stop mining.,"Environment and climate
 change"
72,Rising peak-hour traffic congestion.,"Rising peak-hour traffic congestion is an inescapable condition in many areas of Trivandrum 
city. There is no sufficient traffic control and signal systems to handle the situations.",PWD
73,Regarding waste dumping in cities.,"I would like to inform you that city residents are facing difficulties to dump domestic wastes. 
So,humbly request you to take necessary actions on this.","Environment and climate
 change"
74,Water leakage.,Leakage of water in MG road.,Water Authority
75,"Environment and climate change
 is one of the big challenge we 
are facing right now.","Preserving biodiversity, saving forest can help to overcome these issues..also by recycling, 
avoiding usage of plastic, efficient use of fuel.","Environment and climate
 change"
76,Poor road maintenance.,"Roads are not properly maintained and repair works on roads last for just few days.
 A proper transportation facility is a basic right for the citizens.",PWD
77,No good roads.,"We actually dont have a good roads which is worthy for the tax we pay. 
Hopefully the government will find a way to fix this. Thanks",PWD
78,Road repair complaint.,"The pathholes in the road are extremly half feet size and accident prone today which effect 
daily travelling student employees are suffering and also may cause health problems.",PWD
79,Power failure.,Lot of power failure in day time .,KSEB
80,Water is not enough.,Please setup enough water resource in rural areas.,Water Authority
81,"Concreting bottom of my 
compound wall at outlet of 
roadside water drainage.","The drainage work at muthambi-oorallur road, thadoli thazha junction, koyilandy taluk, calicut 
district, for a length of about 100 mtr is progressing. The outlet after crossing road is directed
 towards my compound wall letting the water to flow to ""nayadan puzha"" (Lake).
 After completion, the water will flow directly to the bottom of my compound wall and after 
hitting my compound wall changes the direction of flow which will damage my wall. More 
over the nature of place is loose mud. It is learnt that there is no provision to continue the 
drainage after the limit of road. So it is here by requested that kindly do needful to avoid the 
damage to my wall at a length of about 15 mtr or so. An early action is requested as the canal 
water will open in last of January.",PWD
82,Poor roads,"Sir, Please initiate a surprise visit to Kerala to know the conditions of the roads. Its been
 more than 6 months(after rainy season) since the roads has been repaired. Also, if the roads 
are broken, instead of chipping the existing roads, they are resurfaced again which increases
 the height of the roads. The height of the roads can be increased but can the height of the 
houses or office complexes increased? To know more about this, you can take the help of 
our media channels like Asianet news, Manorama news, Indiavision etc. Also, here there is a 
common trend ie once roads are repaired, they are broken again manually for underlying the 
cables underground and left without repairing it. Sir/Madam, per day there are lacs of vehicles 
entering the roads from showrooms. How much tax is collected from them? Isn't that 
sufficient to repair the roads? If the roads are leveled properly, how much fuel can be 
saved? The prices of this fuel can be controlled to a certain extent right? I hope you would 
take these factors into consideration.",PWD
83,Footpath with vendors.,"Dear Sir, Due to intervention by the politicians, every foot-path is flooded with vendors selling
 tender cocanuts, shoe repairs, petty shops filled with pan masalas, liquiors, tea, snacks and
 what not.Not onl;y this, these traders are blocking the view to the side roads so that a 
motorist cannot predict or see what is going to emerge from both the side roads. 
Some of these petty shops are well concreated in the base and running other businesses
 like real estate, rentals etc.etc. Is this our idea of a growing nation ? City with clean roads?
Who is responsible for this if not the P.W.D. who has the authority to issue notice to these 
people and evict them..God, s own bad country ? With pity and consideration I appeal to
 those who can do something to stop this.",PWD
84,Vehicle parking.,Heavy traffic in SS kovil road Thampanoor do to large amount of vehicle parking.,MVD
85,bus waiting shed construction.,"In connection with the othukkungal town of malappuram district kerala beautification, the
 existing bus waiting shed towards kottakkal has been removed in the last year. But till this 
date, a new shed has not been constructed, which makes very difficult for all common 
passengers. Kindly take necessary action for the construction of the waiting shed, which 
will be very helpful for the layman.",PWD
86,road re tarring.,"The road from sreekaryam ambadi nagar to chithravila is with lot of gutter. Please do the 
necessary action to retar the road.",
87,"Road damaged after Japan water 
scheme.","Road kotooli, mangotu vayal road, completely digged from the middle , pregnant ladies may give delivery if they
 go through this road, slippery chance is very high, please do something before any kind of accidents and there is a
 lot of kids also passing through this road, chances of hitting on kids are more as the driver will try to avoid the 
digged part which is in the middle of road which will make pedestrians to Be more on the edge , which may result
 in hit and fall resulting in injury. Please consider to solve as early as possible.",PWD
88,Road 95% damaged.,"There is a road going towards Trivandrum Technopark Phase 3 and it has a gate towards the 
Technopark buildings from this road. It is starting from Nippol Toyota and going towards 
Kallingal . The road name is Kallingal - Attinkuzhy Road... This Road is damaged for last 1.5 
years and no one is caring about this. there are minimum 300 vehicles daily goes through it in 
the morning and evening towards offices. Now it is like 1 meter gutter in the middle of the road
 making health issues to the people. It is in very danger situation. URGENT action required.",PWD
89,Water not coming Edathua .,"I am residing in Edathua panchayat, kuttanad taluk. I am staying in a rented house. 
Water connection and meter is there. But water we are not getting water.Our house consumer
 number is 471/EDA. Our neighbouring house(Consumer No.818/EDA) also not getting water. 
Our well also no water.we are facing great difficulties in our day-to-day needs. So i kindly 
request you to take the necessary action for the same.",Water Authority
90,Non availability for drinking water.,"We are totally more residing in our attuparambil eravipuram (Kollam) locality. We are facing 
a severe problem of growing instances of insufficient water supply for the last 5 days in our 
locality. We have already given many complaints. Kindly am requesting you to look into this 
matter personally. If you do the needful then i shall be very much thankful to you.",Water Authority
91,"About the kerala government 
tranport Vs local buses.","Atleast the present authorites or government should take action about the overspeeding of
 local buses . Overspeeding kills lots of innocent people.",KSRTC
92,Driving licence.,Current driving licence is poor. Make it like pvc card or digital card.,MVD
93,"The Roads in villages are not in 
proper condition for people to 
travel.","The Roads in villages are not in proper condition for people to travel.Please take necessary 
action regarding this.",PWD
94,Full of Pits.,Road is full of pits.,PWD
95,Power outage.,Frequent power cut during morning (peak time).,KSEB
96,Village Road Required Repairs.,"It is submitted that Road condition from Karukaputhur-Pallipadam-Thichur (Palakkad dist)is
 in pathetic condition, even not suitable for footwalk. Due to boarder villages in two constituency
 no MLA bothers for this area. Please do the needful at the earliest.",PWD
97,Stop bridge toll fee .,"Sir, public wants to know why pwd is still continuing with the toll charge for poovathumkadavu
 bridge? Poor maintenance of the road and no street light and misbehaviour of the toll collectors
 with the passengers every day public is suffering from these in our area. If the whole money for
 the bridge is collected from the public then where the gst, road tax, insurance money are going?
 Nearby mathilakam bridge toll fee is stopped before more than 1 year back.",PWD
98,Complaint about road.,"The road from ramamangalam to choondy was dug for some works related to kwh and
 it is not in a condition to travel. I used to travel around 40 km daily, that include this road also.",PWD
99,Damaged Roads.,"This is to register a complaint on poor road conditions and big pot holes in arookutty Aroor road, Alappuzha district.",PWD
100,Damaged Roads.,"Now being damaged long duration, potholes and converted to hidden hazards for bikers and
 potential risk for any road accidents.",PWD
101,"Intolerable Temperature rise in summer
 season.","Intolerable temperature change in summer season cause dried up of rivers, skin disease.",Environment and climate change
102,Poor infrastructure.,Most roads in the city are damaged or not up to the quality needed.,PWD
103,Traffic block.,Keshavadasapuram traffic block. Lack of planning.,MVD
104,Environment.,Intense heat during summer.,Environment and climate change
105,Bad roads.,Low quality roads.,PWD
106,"Public transport is main issue 
of government departments.",Drivers don't know correct times. Some roots have so many bus in same times.,PWD
107,Electricity complaint.,Power loss.,KSEB
108,Suddenly Damaged Roads.,After tarring the roads are damaged suddenly. What is the reason behind for this?,PWD
109,Power failure.,Power failures without prior notice.,KSEB
110,Bumps and cracks in public roads.,Road is not maintained properly.,PWD
111,"Take immediate and necessary 
steps to regulate Global Climate 
Change.","One among the factors which shaped Kerala as 'Gods own Country ' was its euphoric 
Climate, which never touched the extremes. Thanks to the moderating influence of Sea and
 the mighty Western ghats. But the Scenario has changed a lot now. Kerala is witnessing an
 Unprecedental surge in temperature. 'Kumbhachoodu' as termed by old generation is in its all
time high,impacting the livelihood of many.","Environment and climate
 change"
112,Lack of road discipline.,"Many drivers are reckless and do not follow road rules. But law enforcement is lax on
 violations. It makes things difficult for drivers (unpredictable driving of others on the road) 
and pedestrians (walking on the roadside and crossing roads). Makes roads dangerous for 
ordinary citizens.",MVD
113,Excessive use of chlorine.,"Due to excessive use of chlorine and other disinfectants, the water is causing long term health
 problems like hair fall, rashes etc. The amount of disinfectants to be used in the water to be
 supplied need to reconsidered.","Environment and climate
 change"
114,Increase in heat and temperature.,We should have more projects on planting trees. And don't cut down big grown-up trees.,"Environment and climate
 change"
115,Pollution everywhere.,Need proper regulations to control the Pollution.,"Environment and climate
 change"
116,Lack of ksrtc services.,"Lack of ksrtc services in venjaramoodu -Kottukunnam route. The services were cancelled
 recently. Please add services atleast 2 times a day. That would be helpful for students as
 well as others in the area.",KSRTC
117,Rise in temperature.,"Increased deforestation, uncontrolled construction/development activities 
and vehicle emissions heavily contribute to increase in temperature. Government should build
 new policies and also consider switching to renewable energy sources.","Environment and climate
 change"
118,Potholes.,No proper maintenance of roads which leads pot holes in roads.,PWD
119,The bad air and water quality in Kochi.,The pollution levels in the Kochi city is rising rapidly. The government should initiate steps to curb the same.,"Environment and climate
 change"
120,Power failure.,"There has been no power in ours as well as adjoining houses for some time now. Please find the reason and fix the 
problem.",KSEB
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
